ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERO_UOMINI;COMANDATI_DISTACCATI_ESTERO_DONNE;FUORI_RUOLO_ESTERO_UOMINI;FUORI_RUOLO_ESTERO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERO_UOMINI;CONVENZIONI_ESTERO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ASPETTATIVE_UOMINI;ASPETTATIVE_DONNE
C1360;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C1275;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C5126;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4446;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6407;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2445;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1683;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C8240;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
C1806;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6853;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C5783;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4358;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
C642;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
R9207;RALN;CD;049000;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C2370;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ES10815;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2376;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6818;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1095;RALN;CD;049000;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
C250;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C4683;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C7810;RALN;CD;049000;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
C3220;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
C5433;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
T11072;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
